frame.number	frame.time	frame.time_relative	ip.proto	ip.src	udp.srcport	tcp.srcport	ip.dst	udp.dstport	tcp.dstport	frame.len
118	Apr 25, 2006 05:58:54.665533000 CDT	0.041168000	17	192.168.62.121	32915		227.111.1.1	12345		1358
119	Apr 25, 2006 05:58:54.665729000 CDT	0.041364000	17	192.168.62.121	32917		227.111.1.3	12345		1358
120	Apr 25, 2006 05:58:54.665915000 CDT	0.041550000	17	192.168.62.121	32923		227.111.1.6	12345		1358
121	Apr 25, 2006 05:58:54.666113000 CDT	0.041748000	17	192.168.62.121	32920		227.111.1.4	12345		1358
122	Apr 25, 2006 05:58:54.666299000 CDT	0.041934000	17	192.168.62.121	32921		227.111.1.5	12345		1358
123	Apr 25, 2006 05:58:54.666497000 CDT	0.042132000	17	192.168.62.121	32915		227.111.1.1	12345		1358
124	Apr 25, 2006 05:58:54.666698000 CDT	0.042333000	17	192.168.62.121	32917		227.111.1.3	12345		1358
125	Apr 25, 2006 05:58:54.666880000 CDT	0.042515000	17	192.168.62.121	32923		227.111.1.6	12345		1358
126	Apr 25, 2006 05:58:54.666888000 CDT	0.042523000	6	10.100.100.100		2834	192.168.62.121		5901	60
127	Apr 25, 2006 05:58:54.667042000 CDT	0.042677000	17	192.168.62.121	32916		227.111.1.2	12345		1358
128	Apr 25, 2006 05:58:54.667229000 CDT	0.042864000	17	192.168.62.121	32921		227.111.1.5	12345		1358
129	Apr 25, 2006 05:58:54.667437000 CDT	0.043072000	17	192.168.62.121	32920		227.111.1.4	12345		1358
130	Apr 25, 2006 05:58:54.667634000 CDT	0.043269000	17	192.168.62.121	32915		227.111.1.1	12345		1358
131	Apr 25, 2006 05:58:54.667840000 CDT	0.043475000	17	192.168.62.121	32917		227.111.1.3	12345		1358
132	Apr 25, 2006 05:58:54.668035000 CDT	0.043670000	17	192.168.62.121	32917		227.111.1.3	12345		1358
133	Apr 25, 2006 05:58:54.668207000 CDT	0.043842000	17	192.168.62.121	32923		227.111.1.6	12345		1358
134	Apr 25, 2006 05:58:54.668393000 CDT	0.044028000	17	192.168.62.121	32921		227.111.1.5	12345		1358
135	Apr 25, 2006 05:58:54.668577000 CDT	0.044212000	17	192.168.62.121	32920		227.111.1.4	12345		1358
136	Apr 25, 2006 05:58:54.668753000 CDT	0.044388000	17	192.168.62.121	32915		227.111.1.1	12345		1358
137	Apr 25, 2006 05:58:54.668973000 CDT	0.044608000	17	192.168.62.121	32917		227.111.1.3	12345		1358
138	Apr 25, 2006 05:58:54.669185000 CDT	0.044820000	17	192.168.62.121	32923		227.111.1.6	12345		1358
139	Apr 25, 2006 05:58:54.669413000 CDT	0.045048000	17	192.168.62.121	32921		227.111.1.5	12345		1358
140	Apr 25, 2006 05:58:54.669624000 CDT	0.045259000	17	192.168.62.121	32916		227.111.1.2	12345		1358
141	Apr 25, 2006 05:58:54.669844000 CDT	0.045479000	17	192.168.62.121	32920		227.111.1.4	12345		1358
142	Apr 25, 2006 05:58:54.670005000 CDT	0.045640000	17	192.168.62.121	32915		227.111.1.1	12345		1358
